Name,Stars,Title,Date,Description
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read
Amazon Customer,5,"5.0 out of 5 stars
iPhone 14 Pro max",N/A,great phone worth money read
Safeera,5,"5.0 out of 5 stars
Speaks for itself",N/A,great phone shame dont add charger phone anymore especially expensive read
SI,5,"5.0 out of 5 stars
Great phone by Apple",N/A,great phone apple easy use take great quality photo looking would sure recommend family friend apple enthusiast sure disappoint read
SI,5,"5.0 out of 5 stars
Great iphone",N/A,great iphone expected company like apple camera quality perfect face id point battery life great look fantastic apple enthusiast truly say disappointed read
Laura,5,"5.0 out of 5 stars
Definitely the best iPhone I’ve had",N/A,screen crystal clear chrome side stunning battery fantastic camera clear fastthe con would say phone heavy camera stick quite bit personally dont mind much something get used time read
Shakil,5,"5.0 out of 5 stars
New phone",N/A,brilliant phone upgraded new handset good read
Alan Butler,4,"4.0 out of 5 stars
Software issues with phone.",N/A,phone good size work fine apart one issue ringtone volume control message alert notification even full volume cant hear notification thats get touch apple issue seem unable resolve problem pity great phone first one 14 series three problem sort apple read
Jasmin,5,"5.0 out of 5 stars
Great phone",N/A,hood feature read
Lamant,N/A,Ravie,N/A,trs beau produitje suis contente qualit batterie photomerci read
Darvianska,N/A,Niet voor herhaling vatbaar,N/A,het product nooit ontvangen dus kan alleen maar 1 sterr geven read
Client d'Amazon,N/A,Conforme,N/A,iphone command il 2 moisreu en quelques jours seulementarriv dans sa bote dorigine apple scelliphone neuftout est conforme la descriptionje men sers depuis 2 mois et je nai eu aucun soucis depuis je recommande read
Fadwa_Italia,N/A,"Très bon téléphone, mais reste à améliorer",N/A,une nouvelle fois cest du grand applepas du de mon achat cest un achat plaisir que jai effectu mais reste quelques dtails amlior pour quil puisse tre parfaitayant possd liphone 12 avant de passer vers liphone 14 pro max la diffrence se voit tout de suite au niveau de la taille de lcran et surtout de 3 focus de lappareil photo cest extra la plage deffet et de filtre que propose lapplication appareil photo ct design cest du grand classique tant une grande fan de la marque cest un design cylindrique et cette finition propre la marque quand retrouv depuis liphone 4 et 4sla grande nouveaut de cette iphone 14 pro max cest le dynamic island qui est top il permet laffichage simple et intelligent de notification sur le tlphone notamment quand en reoit de appels message etcpour moi le futurs ax damliorations quapple devrait prvoir sur le nouveaux modles cest de voir le positionnement de objectifs de lappareil photo qui pour moi commence devenir redondant et du dj vu de plus je remarque que la qualit de lappareil photo selfie nest pa vraiment tople dtecteur de rduction de bruit nest pa vraiment vraiment efficace dans de lieux trs frquents par ex rue commerantes centre commercial etc il faut parfois faire rpter son interlocuteur pour entendre ce quil nous ditje trouve aussi quapple devrait commencer rflchir allger liphone tout en proposant un tlphone rsistant et de qualiten conclusion je recommande cette iphone vous ne serez pa du il est simple dutilisation agrable utiliser au quotidien cest du grand apple comme dhabitude read
Enzo,N/A,Arriver en parfait état,N/A,rien redire nickel read